,age,workclass,education-num,marital-status,occupation,capital-gains,capital-loss,hours-per-week,native-country,target
151,34,3,9,4,0,0,0,40,38,0
152,33,3,13,4,3,0,0,40,29,0
153,21,3,9,4,2,0,0,35,38,0
154,52,8,9,0,14,0,0,45,38,1
155,48,3,9,2,2,0,0,46,38,0
156,23,3,13,4,5,0,0,40,38,0
157,71,5,10,5,11,0,1816,2,38,0
158,29,3,9,0,2,0,0,60,38,0
159,42,3,13,5,7,0,0,50,38,0
160,68,8,2,0,14,0,0,20,38,0
161,25,3,9,4,7,0,0,40,38,0
162,44,4,14,0,3,0,0,40,38,0
163,28,3,9,4,3,0,0,40,8,0
164,45,5,14,2,11,0,0,40,38,1
165,36,3,10,0,7,0,0,40,25,0
166,39,0,12,4,3,0,0,42,38,0
167,46,6,14,6,10,0,0,40,38,0
168,18,3,7,4,5,0,0,16,38,0
169,66,1,11,6,9,0,0,20,38,0
170,27,3,9,4,7,0,1980,40,38,0
171,28,6,9,2,10,0,0,40,38,0
172,51,3,10,2,11,0,1977,40,38,1
173,27,3,13,4,2,0,0,50,38,0
174,28,6,13,2,9,0,0,40,38,1
175,27,3,9,3,11,0,0,25,38,0
176,21,3,9,4,2,0,0,40,38,0
177,34,3,9,4,5,0,0,40,38,0
178,18,3,9,4,7,0,0,12,38,0
179,33,3,13,2,9,0,0,65,38,0
180,44,1,10,2,3,0,0,38,38,1
181,43,3,10,0,0,0,0,40,38,0
182,30,3,10,4,2,0,0,45,38,0
183,40,3,4,2,6,0,0,40,25,1
184,37,0,10,2,0,0,0,42,38,1
185,34,3,9,2,0,0,0,40,38,0
186,41,5,13,0,3,0,0,40,38,0
187,53,8,13,0,14,0,0,50,38,0
188,31,3,14,2,9,0,0,50,38,0
189,58,6,16,2,9,0,0,1,38,1
190,38,3,10,0,6,0,0,28,38,0
191,24,3,10,2,6,0,0,40,38,0
192,41,1,13,2,2,0,0,40,38,0
193,47,3,10,2,12,0,0,45,38,0
194,41,0,13,2,12,0,0,24,38,0
195,23,3,3,2,13,0,0,40,25,0
196,36,3,10,0,2,0,0,40,38,0
197,40,0,14,4,3,14084,0,55,38,1
198,35,3,14,2,9,7298,0,40,38,1
199,24,5,9,4,11,0,0,40,38,0
200,26,3,14,4,9,0,1876,40,38,0
201,19,8,9,4,14,0,0,40,21,0
202,51,3,13,2,3,0,0,50,38,1
203,42,1,10,4,9,0,1340,40,38,0
204,37,6,9,0,0,0,0,35,38,0
205,18,3,7,4,11,0,0,40,38,0
206,36,3,13,2,7,7298,0,36,38,1
207,35,3,9,0,2,0,0,60,38,0
208,58,4,9,2,11,15024,0,35,38,1
209,17,3,7,4,11,0,0,12,38,0
210,44,1,9,2,13,0,0,40,38,0
211,37,3,9,2,2,0,0,40,38,1
212,35,3,10,4,11,0,0,40,38,0
213,60,3,9,2,2,0,0,40,38,0
214,54,4,4,2,6,0,0,40,38,1
215,37,3,13,4,3,0,0,60,38,1
216,50,3,12,0,11,0,0,40,38,0
217,38,3,13,2,11,0,0,50,30,0
218,45,3,13,2,9,0,0,55,38,0
219,25,3,6,4,2,0,0,40,38,0
220,31,3,10,2,5,0,0,40,38,0
221,64,8,2,0,14,0,0,40,38,0
222,90,3,9,4,7,0,2206,40,38,0
223,54,3,9,2,0,0,0,20,38,0
224,53,1,1,4,6,0,0,35,38,0
225,18,3,9,4,11,0,0,40,38,0
226,60,8,6,0,14,0,0,10,38,0
227,66,5,9,2,4,1409,0,50,38,0
228,75,3,11,6,0,0,0,20,3,0
229,65,3,9,0,0,0,0,40,38,0
230,35,3,7,5,13,3674,0,40,38,0
231,41,3,9,0,11,0,0,38,38,0
232,25,3,10,4,0,0,0,42,38,0
233,33,3,10,0,2,0,0,40,38,0
234,28,3,15,4,9,0,0,55,38,1
235,59,6,9,2,7,0,0,40,38,0
236,40,6,10,4,0,0,0,38,38,0
237,41,3,13,2,3,0,0,50,19,1
238,38,1,14,2,3,0,0,70,38,1
239,23,3,9,4,13,0,0,40,38,0
240,40,3,13,2,9,0,0,40,38,1
241,41,5,9,2,7,0,0,20,38,0
242,24,6,12,2,10,0,0,50,38,0
243,20,8,10,4,14,0,0,20,38,0
244,38,3,10,0,2,0,1741,40,38,0
245,56,3,9,2,0,0,0,35,41,0
246,58,3,9,2,0,0,0,45,38,1
247,32,3,9,4,7,0,0,34,38,0
248,40,3,12,2,12,0,1977,60,38,1
249,45,3,9,2,0,0,0,40,41,0
250,41,3,15,2,9,0,0,40,38,1
251,42,3,13,2,0,0,0,40,38,0
252,59,1,6,6,7,0,0,30,38,0
253,19,1,10,4,0,0,0,40,38,0
254,58,3,10,4,13,0,0,20,38,0
255,42,5,9,2,4,0,0,40,0,1
256,20,3,9,4,7,0,0,40,38,0
257,32,3,9,5,7,0,0,30,38,0
258,45,3,11,6,3,0,0,45,38,0
259,50,3,4,0,2,0,0,40,38,0
260,36,3,13,0,9,0,0,40,38,0
261,45,3,9,2,11,0,0,60,38,0
262,17,3,7,4,7,0,0,12,38,0
263,59,3,10,2,11,4064,0,40,38,0
264,26,3,7,2,2,0,0,40,38,0
265,37,4,10,2,3,0,0,75,36,1
266,19,8,10,4,14,0,0,24,1,0
267,64,3,9,2,3,0,0,40,38,1
268,33,3,13,4,9,0,0,45,38,0
269,33,3,9,2,2,0,0,40,38,1
270,61,3,9,2,3,0,0,40,38,1
271,17,3,5,4,7,1055,0,24,38,0
272,50,5,14,2,4,2407,0,98,38,0
273,27,1,14,4,9,0,0,35,38,0
274,30,3,9,0,9,0,0,40,38,0
275,43,3,9,2,5,0,0,40,38,0
276,44,3,10,2,2,7298,0,40,38,1
277,35,3,10,4,3,0,0,40,38,0
278,25,3,10,4,12,0,0,40,38,0
279,24,3,10,2,6,7298,0,48,38,1
280,22,3,13,4,9,0,0,15,10,0
281,42,1,10,2,2,5178,0,40,38,1
282,34,3,12,0,11,0,0,45,38,0
283,60,3,13,0,9,0,0,42,38,0
284,21,3,9,4,5,0,0,40,38,0
285,57,0,14,2,11,15024,0,40,38,1
286,41,3,15,2,9,0,0,60,38,1
287,50,3,10,0,7,0,0,45,38,0
288,25,3,13,4,3,0,0,40,38,0
289,50,3,4,2,2,0,0,40,6,0
290,36,3,13,2,9,0,0,45,38,0
291,31,3,9,0,9,0,0,40,38,0
292,29,1,13,4,10,0,0,56,38,0
293,21,3,10,4,11,0,0,45,38,0
294,27,3,13,4,12,0,0,40,38,0
295,65,3,9,2,13,0,0,16,38,0
296,37,4,13,0,11,0,0,60,38,0
297,39,8,14,2,14,3464,0,40,41,0
298,24,3,9,4,2,0,0,40,38,0
299,38,3,9,0,11,0,0,80,38,0
300,48,3,13,2,0,7688,0,40,38,1
301,21,3,10,4,7,0,0,25,38,0
302,31,3,9,2,13,0,0,45,38,1
303,55,3,9,2,11,4386,0,40,38,1
304,24,3,10,2,0,0,0,40,24,0
305,43,3,9,0,0,0,0,40,38,0
306,26,3,12,4,12,0,0,45,38,0
307,46,3,12,4,9,0,0,33,38,0
308,35,3,12,2,0,0,0,40,38,1
309,41,4,10,2,4,0,0,54,38,1
310,26,3,13,4,11,0,0,40,38,0
311,34,3,14,2,3,7298,0,35,35,1
312,19,8,10,4,14,0,0,25,38,0
313,36,5,13,0,9,0,0,40,38,1
314,22,3,10,4,11,0,0,15,38,0
315,24,3,10,4,6,0,0,40,38,0
316,77,5,10,2,11,0,0,40,38,0
317,22,3,3,2,6,0,0,40,25,0
318,29,3,10,4,12,0,0,40,38,0
319,62,3,9,6,7,0,0,24,38,0
320,39,5,9,2,3,0,0,40,38,0
321,43,3,10,2,2,0,1485,50,38,0
322,35,3,9,0,13,0,0,45,38,0
323,29,3,7,4,3,0,0,40,38,0
324,76,5,14,2,2,0,0,10,38,0
325,63,5,9,2,4,0,0,45,38,0
326,23,8,11,4,14,0,0,15,38,0
327,43,3,10,2,9,0,1887,50,38,1
328,58,5,9,2,5,0,0,40,38,0
329,66,3,9,4,13,2050,0,55,38,0
330,41,3,10,4,2,0,0,45,38,0
331,26,3,13,4,0,0,0,40,38,0
332,47,3,11,4,7,0,0,40,38,0
333,55,1,6,2,0,0,0,40,38,0
334,53,3,9,2,13,0,0,40,38,0
335,17,3,3,4,7,0,0,48,25,0
336,30,3,9,4,2,0,0,40,38,0
337,49,3,14,4,9,0,0,60,38,0
338,19,3,9,4,11,0,0,30,13,0
339,45,3,9,2,7,0,0,40,38,0
340,26,3,12,4,11,0,0,40,38,0
341,38,3,11,2,2,7298,0,40,38,1
342,36,6,9,2,10,7298,0,40,38,1
343,33,3,9,4,4,0,0,20,38,0
344,22,6,10,4,10,0,0,40,38,0
345,43,5,13,4,11,0,0,42,38,0
346,67,8,7,2,14,0,0,8,38,0
347,30,8,11,0,14,0,0,40,38,0
348,56,3,12,3,7,0,0,25,19,0
349,31,3,13,4,9,0,0,25,38,0
350,33,3,13,2,3,0,0,40,38,1
351,26,3,9,2,7,0,0,40,38,0
352,33,3,13,2,3,0,0,40,38,1
353,46,1,7,2,13,0,0,30,38,0
354,59,8,13,2,14,0,0,40,38,1
355,38,0,9,2,0,0,0,40,38,1
356,65,3,7,6,7,0,0,40,38,0
357,40,3,11,2,12,0,0,40,38,1
358,42,3,9,2,0,0,0,35,38,0
359,26,5,5,2,2,0,0,40,31,0
360,36,3,6,2,7,0,0,24,38,0
361,62,3,14,2,9,0,0,40,38,1
362,43,3,13,2,13,0,0,45,38,0
363,43,3,13,0,3,0,1564,45,38,1
364,22,3,9,3,11,0,0,55,38,0
365,28,3,9,2,2,0,0,40,38,0
366,56,5,10,2,11,0,0,45,38,0
367,22,3,12,4,11,0,0,15,38,0
368,57,3,13,0,3,0,0,45,38,1
369,39,3,9,0,11,0,0,40,38,0
370,26,0,10,4,0,0,0,15,38,0
371,17,3,7,4,7,0,0,10,38,0
372,40,6,11,2,6,0,0,38,38,1
373,45,3,9,2,6,0,0,40,38,0
374,44,3,9,4,2,0,0,40,38,0
375,20,1,10,4,0,0,0,10,38,0
376,33,3,9,2,2,0,0,40,38,0
377,23,3,10,4,11,0,0,40,38,0
378,46,5,14,0,3,0,0,30,38,0
379,38,3,9,2,11,0,0,50,38,0
380,54,3,9,0,13,0,0,40,38,0
381,46,3,3,0,2,0,2339,45,38,0
382,25,3,10,2,2,0,0,40,38,0
383,46,3,10,0,11,0,0,40,38,0
384,36,1,10,2,13,0,0,40,38,0
385,23,3,9,4,7,0,0,25,38,0
386,29,3,9,5,6,0,0,40,38,0
387,44,3,10,2,0,0,2415,6,38,1
388,19,3,10,4,0,0,0,16,38,0
389,19,3,9,4,7,0,0,40,38,0
390,35,3,9,2,7,0,0,40,38,1
391,27,3,13,4,2,0,0,50,38,0
392,46,5,12,5,2,0,0,40,38,0
393,34,6,13,2,3,7688,0,45,41,1
394,34,3,9,4,7,0,0,35,38,0
395,44,3,10,2,12,0,0,40,38,0
396,45,3,10,0,5,0,0,40,38,0
397,20,8,9,4,14,0,0,35,38,0
398,25,3,13,2,3,0,0,55,38,1
399,52,4,13,2,3,0,0,50,38,1
400,20,3,10,4,5,0,0,40,38,0
401,28,3,10,4,7,0,0,40,38,0
402,50,6,13,2,10,0,0,40,38,1
403,34,3,11,0,12,0,0,64,38,0
404,28,3,4,2,5,0,2179,40,32,0
405,41,3,14,2,3,0,1977,65,38,1
406,28,3,9,2,0,0,0,40,38,0
407,46,5,9,2,2,0,0,25,38,0
408,28,8,10,2,14,0,1887,40,38,1
409,32,3,10,2,3,0,0,50,38,0
410,41,1,10,0,7,0,0,24,38,0
411,24,3,9,4,5,0,0,40,38,0
412,33,3,10,0,3,0,0,40,38,0
413,46,3,16,2,3,15024,0,60,38,1
414,31,6,10,2,6,0,0,40,38,0
415,35,3,8,0,2,0,0,50,38,1
416,52,3,2,2,6,0,0,40,25,0
417,30,3,7,4,7,0,0,19,38,0
418,34,1,7,5,6,0,0,40,38,0
419,34,6,9,0,13,0,0,40,38,0
420,20,3,10,2,11,0,0,30,38,0
421,17,3,7,4,5,2176,0,18,38,0
422,32,6,13,2,3,0,0,40,38,1
423,29,3,9,0,4,0,0,40,38,0
424,33,3,6,4,2,0,0,35,38,0
425,25,3,9,2,13,0,0,60,38,0
426,36,0,14,4,9,0,1408,40,38,0
427,23,3,9,4,5,0,0,72,5,0
428,63,4,9,2,3,0,0,40,38,1
429,47,1,14,2,9,0,0,40,38,0
430,80,8,9,6,14,0,0,24,38,0
431,17,8,7,4,14,0,0,40,38,0
432,40,5,13,3,9,2174,0,40,38,0
433,30,3,12,2,7,0,0,25,38,1
434,27,3,10,4,2,0,1980,40,29,0
435,33,3,14,2,9,0,0,50,38,1
436,34,1,9,4,4,594,0,60,38,0
437,34,1,10,4,10,0,0,40,38,0
438,23,3,10,2,0,0,0,40,38,0
439,42,1,10,2,0,0,0,40,38,0
440,29,3,13,4,9,0,0,40,38,0
441,45,3,9,0,0,0,0,28,38,0
442,24,0,9,4,1,0,0,40,38,0
443,44,3,10,2,9,0,0,40,38,1
444,27,3,5,4,2,0,0,40,25,0
445,20,3,10,4,11,0,0,35,38,0
446,44,3,9,6,3,0,0,40,38,0
447,51,3,9,2,2,0,0,40,38,0
448,20,3,9,2,6,0,0,40,38,0
449,17,8,7,4,14,0,0,5,38,0
450,19,3,9,4,6,0,0,40,38,0
451,45,4,10,2,2,0,0,55,38,1
452,60,3,9,2,2,0,0,40,38,1
453,42,3,12,2,3,0,0,40,41,1
454,44,5,9,2,11,0,0,40,38,1
455,40,3,11,2,6,0,0,40,38,1
456,30,3,9,2,3,0,0,40,38,0
457,38,3,10,2,13,0,0,50,38,0
458,23,3,9,2,13,0,0,60,38,0
459,32,8,10,2,14,0,0,40,38,0
460,44,3,12,4,4,0,0,40,38,0
461,54,1,9,2,13,0,0,40,38,0
462,32,3,13,2,9,0,0,50,38,0
463,50,3,2,3,2,0,0,40,38,0
464,24,3,13,4,12,0,0,20,38,0
465,37,3,9,2,0,0,0,60,38,0
466,52,3,9,0,13,0,0,40,38,0
467,38,3,10,2,13,0,0,40,38,0
468,49,3,14,2,3,0,1977,45,38,1
469,30,3,13,2,12,0,0,16,38,1
470,60,3,10,4,9,0,0,40,38,1
471,22,8,10,4,14,0,0,40,38,0
472,35,3,9,4,2,0,0,40,38,0
473,30,3,9,4,13,0,0,60,38,0
474,67,3,11,0,7,0,0,24,38,0
475,46,3,13,4,2,0,0,40,38,0
476,17,3,5,4,7,0,0,6,38,0
477,22,3,10,4,5,0,0,30,38,0
478,27,3,6,4,7,0,0,40,38,0
479,23,3,9,4,7,0,0,35,38,0
480,33,3,12,2,2,0,0,45,31,0
481,43,5,10,2,2,0,0,20,38,0
482,28,6,13,4,9,0,0,20,38,0
483,41,3,9,3,2,0,0,40,38,0
484,52,8,8,4,14,594,0,40,38,0
485,25,3,10,3,0,0,0,20,38,0
486,63,8,2,2,14,0,0,35,38,0
487,59,1,9,2,13,0,0,45,38,0
488,45,1,13,0,9,0,0,40,38,0
489,38,3,13,2,11,15024,0,60,38,1
490,40,3,9,4,7,0,0,35,38,0
491,46,0,9,0,0,0,0,40,38,0
492,35,3,12,4,3,0,0,60,38,0
493,34,3,9,0,9,0,0,25,38,0
494,33,3,13,4,2,0,0,20,38,0
495,41,3,9,0,0,0,0,36,38,0
496,20,3,10,4,6,0,0,40,38,0
497,23,3,3,4,7,0,0,40,7,0
498,26,3,10,4,9,0,0,35,38,0
499,72,8,9,2,14,0,0,20,38,0
500,23,1,9,4,4,0,0,40,30,0
501,62,1,9,2,13,0,0,40,38,0
502,52,3,10,2,0,0,0,40,38,0
503,58,3,10,0,7,0,0,42,9,0
504,25,3,13,4,11,0,0,40,38,0
505,24,3,13,4,3,0,0,40,38,0
506,19,3,10,4,10,0,0,8,38,0
507,43,3,10,2,3,0,0,40,38,0
508,47,1,9,5,0,0,0,40,38,0
509,39,3,9,0,7,0,0,40,38,0
510,49,3,11,3,5,0,1380,42,38,0
511,53,8,3,6,14,0,0,30,38,0
512,32,3,11,4,2,0,0,45,38,0
513,34,3,10,2,9,0,0,50,38,1
514,28,3,9,0,2,0,0,45,38,0
515,57,8,11,6,14,0,0,38,38,0
516,25,3,10,4,0,0,0,20,38,0
517,20,8,10,4,14,0,0,24,38,0
518,21,8,10,4,14,0,0,35,38,0
519,34,3,13,2,9,0,0,50,38,1
520,38,4,13,2,3,15024,0,80,38,1
521,50,3,9,2,3,7688,0,50,38,1
522,24,1,10,0,5,0,0,50,38,0
523,37,1,10,2,12,0,0,45,38,1
524,44,3,10,0,6,0,0,58,38,1
525,28,3,10,2,11,0,0,40,38,0
526,42,3,13,2,3,0,0,40,38,1
527,74,3,10,0,0,0,0,9,38,0
528,38,5,9,2,2,0,0,50,38,0
529,44,5,14,2,9,0,0,40,38,0
530,44,3,7,0,6,0,0,46,32,0
531,26,3,9,4,6,0,0,40,38,0
532,36,3,9,2,7,0,0,40,38,0
533,41,3,12,2,3,0,0,50,38,1
534,67,3,15,2,9,20051,0,48,38,1
535,39,1,8,2,12,0,0,50,38,0
536,57,3,2,6,8,0,0,30,38,0
537,29,3,11,5,2,0,0,40,38,0
538,31,4,13,4,4,0,0,45,38,0
539,34,8,9,4,14,0,0,40,38,0
540,44,3,10,2,13,0,0,40,38,0
541,29,3,16,4,9,0,0,40,38,0
542,30,3,10,4,5,0,0,40,38,0
543,27,3,9,4,13,0,0,40,38,0
544,27,3,10,2,11,0,0,50,38,0
545,32,3,9,4,5,0,0,45,38,0
546,58,3,6,2,7,0,0,8,38,0
547,35,1,10,2,10,0,0,40,38,0
548,21,3,9,4,5,0,0,36,38,0
549,28,3,10,4,2,0,0,40,38,0
550,46,5,10,0,3,0,0,50,38,0
551,36,5,9,5,7,0,0,40,38,0
552,72,3,7,6,0,0,0,40,38,0
553,35,3,9,2,6,0,0,40,38,0
554,33,0,11,0,2,0,0,40,38,1
555,69,3,7,4,6,0,0,40,38,0
556,35,3,9,2,6,0,0,40,38,0
557,31,3,9,5,0,0,0,20,41,0
558,34,3,9,2,12,0,0,32,38,0
559,30,3,7,2,7,0,0,40,25,0
560,28,3,13,4,13,0,0,55,38,0
561,54,3,13,2,11,0,0,35,38,1
562,47,3,10,2,9,0,0,50,38,1
563,24,3,9,4,5,0,0,40,38,0
564,52,5,13,2,9,0,0,60,38,1
565,20,3,9,4,5,0,0,48,38,0
566,43,4,14,2,3,5013,0,45,38,0
567,45,3,4,5,7,0,0,40,25,0
568,29,5,9,5,2,0,0,35,38,0
569,47,3,14,0,3,0,0,42,38,0
570,24,3,9,4,2,0,0,40,38,0
571,51,3,9,2,9,0,0,40,38,0
572,17,3,7,4,11,0,0,12,38,0
573,37,3,11,2,2,0,1977,40,38,1
574,27,3,16,4,9,0,0,70,38,0
575,29,3,13,2,3,0,0,40,38,1
576,18,8,8,4,14,0,0,25,38,0
577,36,5,12,0,11,0,0,35,38,0
578,58,1,13,4,9,0,0,40,38,0
579,26,5,10,2,2,0,0,45,38,0
580,65,8,10,2,14,0,0,30,38,1
581,57,3,9,2,11,0,0,40,38,1
582,59,3,9,2,2,0,0,40,38,0
583,27,3,9,2,6,0,0,40,38,0
584,31,5,13,4,12,0,0,40,38,0
585,21,3,10,4,11,0,0,24,38,0
586,29,3,10,4,0,0,0,60,38,0
587,18,3,7,4,7,0,0,40,38,0
588,52,3,6,2,2,0,1887,47,38,1
589,57,4,13,0,9,0,0,80,38,0
590,42,8,9,2,14,0,0,40,38,0
591,55,8,9,2,14,0,0,40,38,0
592,60,3,4,4,13,0,0,48,38,1
593,31,3,13,2,9,7688,0,40,1,1
594,23,3,13,4,0,0,0,40,38,0
595,27,3,9,4,11,0,0,40,38,0
596,23,8,10,4,14,0,0,25,38,0
597,42,5,15,2,9,0,1902,50,38,1
598,25,3,10,4,12,2174,0,40,38,0
599,49,3,13,4,9,0,0,45,38,0
600,32,3,13,4,12,0,0,40,38,0
601,19,3,10,4,0,0,0,28,38,0
602,60,3,4,0,7,0,0,40,38,0
603,42,1,5,2,7,0,0,40,38,0
604,35,5,12,4,4,0,0,40,38,0
605,48,3,9,4,0,0,0,37,38,0
606,51,3,14,2,2,0,0,40,38,1
607,29,3,9,4,2,0,0,40,38,0
608,36,1,9,5,3,0,0,40,38,0
609,17,3,6,4,7,0,0,21,38,0
610,52,3,14,0,9,6849,0,60,38,0
611,24,3,9,4,2,0,0,40,38,0
612,24,3,9,2,5,0,0,50,38,0
613,26,1,13,4,9,1055,0,40,38,0
614,27,3,13,4,7,0,0,20,38,0
615,39,3,9,4,5,0,0,60,38,0
616,30,3,9,2,13,0,0,45,38,0
617,50,5,9,2,3,0,0,32,38,0
618,52,4,13,2,11,0,0,55,38,0
619,46,3,15,2,9,15024,0,45,38,1
620,23,3,13,4,11,0,0,20,38,0
621,45,3,7,6,7,0,0,20,38,0
622,65,3,5,6,8,0,0,24,38,0
623,29,3,11,2,13,0,0,55,38,0
624,47,3,5,3,5,0,0,40,7,0
625,30,3,9,4,4,0,0,60,38,0
626,34,3,9,2,11,0,0,45,38,1
627,38,5,9,2,11,0,0,64,38,0
